manv,mann,tdo
KH001,06,A
KH001,02,C
TT001,03,B
TT001,02,A
NS001,01,B
NS001,03,B
HC001,03,B
DV001,06,B
DV001,03,D
HC002,03,A
KT001,02,A
KT001,03,C
KT001,05,D
HC003,05,C
HC003,03,D
HC003,06,D
TC002,04,C
TC002,01,B
TC002,02,B
KH002,01,D
DV002,06,D
DV002,02,C
QT001,01,D
KH003,05,D
KH003,03,A
KH004,05,B
KH004,02,D
KH004,03,A
HC004,06,D
HC004,04,B
MK001,05,B
KT002,02,C
MK002,05,B
MK002,06,C
MK002,01,A
HC005,06,B
KT003,02,A
QT002,06,A
QT002,03,D
QT003,02,D
QT003,06,C
NS003,04,A
TT002,03,D
TT002,02,C
QT004,01,B
HC006,06,B
HC006,01,A
HC006,05,A
KH005,04,A
KH006,04,D
KH006,01,A
KD002,02,B
KT004,05,B
KT004,06,B
HC008,03,C
HC008,01,C
HC008,04,A
PR001,05,B
PR001,01,B
KH007,01,B
KH008,06,C
KH008,05,B
KH008,01,C
KT005,01,A
KT005,04,A
TT003,04,C
TT003,05,C
NS004,01,B
NS005,01,A
NS005,02,C
NS005,05,C
TT004,01,D
TT004,03,A
TT004,06,B
TT005,03,B
TC005,01,B
DV006,06,C
DV006,02,C
KD004,02,D
KD004,06,B
KD004,04,D
PR003,02,B
KH009,04,D
KH009,01,C
KH009,06,C
MK003,01,C
MK003,02,C
NS006,02,D
NS006,04,D
NS006,03,C
KT007,03,D
KT007,04,A
KT008,05,B
TT006,01,C
TT006,02,A
KD005,05,C
KD005,01,C
KD005,06,A
KD006,05,B
KD006,03,C
KD007,06,C
HC013,04,D
HC013,05,C
HC013,06,D
DV007,05,B
DV007,06,C
DV007,01,C
PR005,06,C
HC014,05,B
KT009,05,B
NS007,02,C
NS007,01,D
NS007,03,A
DV008,04,A
DV008,06,D
KD008,01,B
TT008,03,D
TT008,06,C
TT008,01,D
TC007,02,C
TC007,03,D
NS008,05,B
NS008,01,D
HC015,02,D
HC015,06,A
KT010,01,A
KT010,03,C
KT010,06,C
QT007,04,A
QT007,02,A
NS009,06,C
NS009,01,C
NS009,04,D
HC016,04,A
KH011,05,D
NS010,01,C
NS010,06,C
DV010,03,B
DV010,02,A
DV010,04,C
KT011,03,C
QT008,02,D
KD010,02,B
KD010,06,B
TT010,02,B
TT010,01,C
PR007,06,C
TC008,06,A
KD011,05,B
KD011,02,C
KD011,06,B
HC017,03,D
HC017,04,D
HC017,05,C
QT009,05,A
TC009,02,B
TC009,04,C
TC009,01,A
DV011,03,C
DV011,01,B
DV011,05,A
HC018,04,B
HC018,03,A
HC018,02,B
NS014,01,B
NS014,05,D
TT012,04,C
QT010,01,C
KH013,05,D
HC019,04,B
TT013,01,D
TT013,06,C
NS015,02,B
NS015,03,C
KD013,04,A
KD013,06,C
KD013,02,C
DV012,05,B
DV012,06,A
DV012,01,A
TC010,01,B
TC010,05,A
KT012,03,A
KT012,01,B
HC021,05,C
TC012,05,D
TC012,04,A
TC013,02,C
TC013,03,C
KH015,02,A
DV013,05,A
KD014,04,D
KD014,06,D
QT011,05,A
QT011,03,D
KD015,06,A
KD015,02,D
KD015,04,C
NS017,03,D
DV014,02,A
DV014,03,C
HC022,03,A
HC022,04,D
HC022,02,C
KD016,04,B
KD016,02,D
KD016,03,D
TT014,04,D
KD017,01,B
KD017,05,C
TT015,06,A
TT015,01,A
KT013,06,A
KT013,04,C
NS018,05,D
QT012,01,C
QT012,03,A
QT012,04,A
KT014,05,B
DV015,06,C
DV015,03,D
DV015,05,B
DV016,03,C
DV016,01,B
TT016,04,D
TT016,01,B
TT016,03,D
KT015,01,D
PR008,02,C
KD018,02,C
KD018,03,D
KD018,06,B
NS019,03,A
PR009,04,C
PR009,06,D
PR009,02,A
KD019,05,D
KD019,04,D
KD019,02,D
PR010,03,D
PR010,02,D
MK007,03,A
HC023,02,A
HC023,03,B
HC023,01,B
QT014,04,D
KT016,01,C
KT016,03,A
KT016,02,B
MK008,06,C
HC024,04,A
HC024,06,D
TT017,06,B
TT017,02,D
KT018,04,A
HC025,04,C
HC025,05,C
HC025,01,A
HC026,02,C
DV017,05,C
DV017,04,D
TC017,06,D
TC017,04,D
TC017,03,D
QT015,06,A
QT015,05,D
QT015,01,D
DV019,04,C
DV019,02,D
DV019,05,A
QT016,02,D
NS022,03,A
TC018,06,A
TC018,04,A
TC018,01,B
PR011,01,D
PR011,06,A
QT017,02,A
QT017,06,A
HC028,02,C
NS023,05,D
NS023,03,D
NS023,04,B
