malop,tenlop,khoa,manganh,siso
DL24,Khoa học dữ liệu,24,121564,NULL
DT24,Thương mại điện tử,24,169801,NULL
HC24,Hóa hữu cơ,24,132366,NULL
HD24,Hóa dược,24,132368,NULL
HQ23,Hàn quốc học,23,157042,NULL
HQ24,Hàn quốc học,24,157042,NULL
HT22,Hệ thống thông tin,22,121563,NULL
HT23,Hệ thống thông tin,23,121563,NULL
HT24,Khai thác dữ liệu,24,121563,NULL
LU24,Luật thương mại,24,170681,NULL
MK24,Marketing quốc tế,24,169802,NULL
MT24,Khoa học máy tính,24,121565,NULL
NA22,Ngôn ngữ Anh,22,157041,NULL
NA23,Ngôn ngữ Anh,23,157041,NULL
NA24,Ngôn ngữ Anh,24,157041,NULL
PM21,Kỹ thuật phần mềm,21,121561,NULL
PM22,Kỹ thuật phần mềm,22,121561,NULL
PM23,Kỹ thuật phần mềm,23,121561,NULL
PM24,Kỹ thuật phần mềm,24,121561,NULL
SP22,Sư phạm tiểu học,22,181151,NULL
SP23,Sư phạm tiểu học,23,181151,NULL
SP24,Sư phạm tiểu học,24,181151,NULL
TC23,Toán tin,23,121154,NULL
TC24,Toán tin,24,121154,NULL
TI24,Sư phạm Tin,24,181153,NULL
TM24,Tiếng Anh thương mại,24,157045,NULL
TO24,Sư phạm Toán,24,181152,NULL
TU22,Toán tin,22,121153,NULL
TU23,Toán tin,23,121153,NULL
TU24,Toán tin,24,121153,NULL
VL24,Vật lý lượng tử,24,131251,NULL
