songlistID,song,artist,release_year,combined
1,Keep On Loving You,REO Speedwagon,1980,Keep On Loving You by REO Speedwagon
2,Keep Pushin 1977,REO Speedwagon,null,Keep Pushin 1977 by REO Speedwagon
3,Like You Do,REO Speedwagon,null,Like You Do by REO Speedwagon
4,Ridin the Storm Out,REO Speedwagon,null,Ridin the Storm Out by REO Speedwagon
5,Roll With the Changes,REO Speedwagon,null,Roll With the Changes by REO Speedwagon
6,Take It on the Run,REO Speedwagon,1981,Take It on the Run by REO Speedwagon
7,Time For Me To Fly,REO Speedwagon,null,Time For Me To Fly by REO Speedwagon
8,Jessies Girl,Rick Springfield,1981,Jessies Girl by Rick Springfield
9,Back Off Boogaloo,Ringo Starr,1972,Back Off Boogaloo by Ringo Starr
10,Early 1970 [*],Ringo Starr,1971,Early 1970 [*] by Ringo Starr
11,It Dont Come Easy,Ringo Starr,1971,It Dont Come Easy by Ringo Starr
12,No No Song,Ringo Starr,1974,No No Song by Ringo Starr
13,Photograph,Ringo Starr,1973,Photograph by Ringo Starr
14,Yourre Sixteen,Ringo Starr,1974,Yourre Sixteen by Ringo Starr
15,Addicted to Love,Robert Palmer,1985,Addicted to Love by Robert Palmer
16,Bad Case Of Lovin You,Robert Palmer,1979,Bad Case Of Lovin You by Robert Palmer
17,Simply Irresistible,Robert Palmer,1988,Simply Irresistible by Robert Palmer
18,Big Log,Robert Plant,1983,Big Log by Robert Plant
19,In The Mood,Robert Plant,1983,In The Mood by Robert Plant
20,Little By Little,Robert Plant,null,Little By Little by Robert Plant
21,No Easy Way Out,Robert Tepper,null,No Easy Way Out by Robert Tepper
22,Bridge of Sighs,Robin Trower,1974,Bridge of Sighs by Robin Trower
23,Little Bit of Sympathy,Robin Trower,null,Little Bit of Sympathy by Robin Trower
24,Too Rolling Stoned,Robin Trower,null,Too Rolling Stoned by Robin Trower
25,Tired Of Toein The Line,Rocky Burnette,null,Tired Of Toein The Line by Rocky Burnette
26,Every Picture Tells A Story,Rod Stewart,1971,Every Picture Tells A Story by Rod Stewart
27,Hot Legs,Rod Stewart,null,Hot Legs by Rod Stewart
28,I Know Im Losing You,Rod Stewart,null,I Know Im Losing You by Rod Stewart
29,Maggie May,Rod Stewart,1971,Maggie May by Rod Stewart
30,Reason to Believe,Rod Stewart,1971,Reason to Believe by Rod Stewart
31,Stay with Me,Rod Stewart,null,Stay with Me by Rod Stewart
32,The First Cut Is The Deepest,Rod Stewart,1976,The First Cut Is The Deepest by Rod Stewart
33,Tonights the Night (Gonna Be Alright),Rod Stewart,1976,Tonights the Night (Gonna Be Alright) by Rod Stewart
34,You Wear It Well,Rod Stewart,1972,You Wear It Well by Rod Stewart
35,Youre In My Heart (The Final Acclaim),Rod Stewart,1977,Youre In My Heart (The Final Acclaim) by Rod Stewart
36,Free Me,Roger Daltry,null,Free Me by Roger Daltry
37,Had a Dream (Sleeping With the Enemy),Roger Hodgson,null,Had a Dream (Sleeping With the Enemy) by Roger Hodgson
38,The Logical Song,Roger Hodgson,1979,The Logical Song by Roger Hodgson
39,(I Cant Get No) Satisfaction,Rolling Stones,1965,(I Cant Get No) Satisfaction by Rolling Stones
40,19th Nervous Breakdown,Rolling Stones,1966,19th Nervous Breakdown by Rolling Stones
41,Aint Too Proud to Beg,Rolling Stones,1974,Aint Too Proud to Beg by Rolling Stones
42,Almost Hear You Sigh,Rolling Stones,1989,Almost Hear You Sigh by Rolling Stones
43,Angie,Rolling Stones,1973,Angie by Rolling Stones
44,Beast Of Burden,Rolling Stones,1978,Beast Of Burden by Rolling Stones
45,Bitch,Rolling Stones,1971,Bitch by Rolling Stones
46,Brown Sugar,Rolling Stones,1971,Brown Sugar by Rolling Stones
47,Cant You Hear Me Knocking,Rolling Stones,1971,Cant You Hear Me Knocking by Rolling Stones
48,CAROL,Rolling Stones,null,CAROL by Rolling Stones
49,Da Da Doo Ron Ron,Rolling Stones,null,Da Da Doo Ron Ron by Rolling Stones
50,Dance Little Sister,Rolling Stones,1980,Dance Little Sister by Rolling Stones
51,Doo Doo Doo Doo Doo (Heartbreaker),Rolling Stones,1973,Doo Doo Doo Doo Doo (Heartbreaker) by Rolling Stones
52,Doom And Gloom,Rolling Stones,2012,Doom And Gloom by Rolling Stones
53,Emotional Rescue,Rolling Stones,1980,Emotional Rescue by Rolling Stones
54,Fortune Teller,Rolling Stones,null,Fortune Teller by Rolling Stones
55,Get Off My Cloud,Rolling Stones,1965,Get Off My Cloud by Rolling Stones
56,Get Off Of My Cloud,Rolling Stones,1965,Get Off Of My Cloud by Rolling Stones
57,Gimme Shelter,Rolling Stones,1969,Gimme Shelter by Rolling Stones
58,Hand of Fate,Rolling Stones,1976,Hand of Fate by Rolling Stones
59,Hang Fire,Rolling Stones,1981,Hang Fire by Rolling Stones
60,Happy,Rolling Stones,1972,Happy by Rolling Stones
61,Heartbreaker,Rolling Stones,1973,Heartbreaker by Rolling Stones
62,Honky Tonk Women,Rolling Stones,1969,Honky Tonk Women by Rolling Stones
63,ITS ALL OVER NOW,Rolling Stones,1964,ITS ALL OVER NOW by Rolling Stones
64,Its Only Rock n Roll,Rolling Stones,1974,Its Only Rock n Roll by Rolling Stones
65,Jumpin Jack Flash,Rolling Stones,1968,Jumpin Jack Flash by Rolling Stones
66,Just My Imagination,Rolling Stones,null,Just My Imagination by Rolling Stones
67,Let It Bleed,Rolling Stones,1969,Let It Bleed by Rolling Stones
68,Lets Spend the Night Together,Rolling Stones,1967,Lets Spend the Night Together by Rolling Stones
69,Like A Rolling Stone,Rolling Stones,null,Like A Rolling Stone by Rolling Stones
70,Little Queenie,Rolling Stones,null,Little Queenie by Rolling Stones
71,Midnight Rambler,Rolling Stones,1969,Midnight Rambler by Rolling Stones
72,Miss You,Rolling Stones,1978,Miss You by Rolling Stones
73,Monkey Man,Rolling Stones,1969,Monkey Man by Rolling Stones
74,Mothers Little Helper,Rolling Stones,1966,Mothers Little Helper by Rolling Stones
75,Paint It Black,Rolling Stones,1966,Paint It Black by Rolling Stones
76,Shattered,Rolling Stones,1978,Shattered by Rolling Stones
77,Shes a Rainbow,Rolling Stones,1967,Shes a Rainbow by Rolling Stones
